x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,label
0.683632255,0.924990535,8.53e-07,0.594988406,0.906377017,-0.044033688,0.519861639,0.848359346,-0.077619575,0.457444936,0.796504319,-0.10682223,0.39580822,0.759989738,-0.137540266,0.56405139,0.661816657,-0.071787655,0.518402159,0.538261056,-0.112053685,0.483878732,0.463931143,-0.141725138,0.45238477,0.397399843,-0.164339975,0.623627424,0.639439881,-0.08096917,0.585736454,0.494329572,-0.120545365,0.558658779,0.399220437,-0.150972769,0.533860505,0.31208089,-0.172811449,0.68709749,0.652723134,-0.093288057,0.672420502,0.506885052,-0.137556449,0.665052772,0.413031191,-0.163671017,0.655204177,0.32530722,-0.180767164,0.750292957,0.690628827,-0.107585318,0.771270335,0.586424649,-0.150893971,0.78290534,0.514180481,-0.167787015,0.788665771,0.442229599,-0.177639529,Hello
0.693983138,0.935139537,5.9e-07,0.599990964,0.916069865,-0.040581405,0.517214835,0.852888882,-0.070634462,0.454298347,0.799272299,-0.097488463,0.394198805,0.759345651,-0.126298368,0.565077364,0.664870739,-0.063742243,0.516756415,0.544019878,-0.104002967,0.483174115,0.472049773,-0.133042082,0.450451255,0.406764954,-0.154685616,0.623807788,0.642840505,-0.075190596,0.58697319,0.493233591,-0.114109464,0.560531318,0.39851442,-0.144891053,0.534240007,0.31216079,-0.166995481,0.684767604,0.655763388,-0.090623803,0.670720518,0.512287736,-0.134538502,0.660062969,0.415794373,-0.163732484,0.646040916,0.324618012,-0.1832252,0.74551028,0.694340587,-0.107996196,0.765917063,0.585475862,-0.148586899,0.780344784,0.51126194,-0.166830599,0.78829205,0.43820703,-0.178707421,Hello
0.690397501,0.937183619,6.49e-07,0.597178042,0.912380815,-0.039419871,0.514466345,0.846923411,-0.068677194,0.451931834,0.795819879,-0.094967484,0.393811524,0.75661093,-0.123415343,0.565465152,0.662179112,-0.064380102,0.519276857,0.540315509,-0.105108619,0.485706091,0.467604995,-0.134482369,0.452862203,0.401147276,-0.15627113,0.623206258,0.642199397,-0.07607609,0.5867154,0.491307497,-0.115865089,0.562281251,0.395441234,-0.146873251,0.538642585,0.30845651,-0.168964982,0.683579087,0.656736374,-0.091410145,0.670295894,0.512088597,-0.135914207,0.661445379,0.413695455,-0.164682895,0.648749948,0.320583165,-0.18360284,0.744364381,0.696044207,-0.108530656,0.763522565,0.585843146,-0.149447799,0.77729845,0.510109305,-0.167006522,0.785144448,0.435241401,-0.178181604,Hello
0.693786263,0.937353611,6.2e-07,0.599629521,0.913483679,-0.038369711,0.51692456,0.849692523,-0.067400411,0.454654455,0.79898113,-0.093790196,0.395540535,0.761211157,-0.122063138,0.563875973,0.664024711,-0.061410032,0.516539454,0.543264568,-0.101680093,0.481854826,0.471519232,-0.13080658,0.448218226,0.405720472,-0.152215898,0.621249378,0.643181145,-0.073629111,0.585205615,0.492210567,-0.111701079,0.559505343,0.396367192,-0.141724616,0.534531236,0.309784293,-0.163265765,0.681369662,0.656701386,-0.089643136,0.668007612,0.511871636,-0.131916746,0.658565044,0.415222585,-0.159348935,0.645456731,0.324521363,-0.177611366,0.742047012,0.695731282,-0.107625611,0.762216568,0.586215794,-0.146090329,0.775998056,0.510556221,-0.162504613,0.783703446,0.436802268,-0.173038259,Hello
0.692164958,0.936704814,6.53e-07,0.598342955,0.91293782,-0.040218182,0.515764475,0.849978983,-0.070577323,0.452925146,0.798969507,-0.097993247,0.393540919,0.760067105,-0.127276853,0.56366992,0.664062619,-0.064046673,0.517746866,0.542863846,-0.105183177,0.4840011,0.47123009,-0.134920403,0.451119572,0.404780626,-0.15692395,0.620907485,0.643059731,-0.0757007,0.58482796,0.492995262,-0.11534366,0.559781611,0.397604436,-0.14628467,0.535465479,0.310309649,-0.16848217,0.680804372,0.65646863,-0.091185905,0.666474879,0.511886656,-0.135368675,0.656866133,0.414323837,-0.163650811,0.643422067,0.321805388,-0.182382658,0.741347194,0.694928408,-0.108657405,0.760919213,0.585647523,-0.149307385,0.774846733,0.509325683,-0.16679506,0.782720447,0.434099972,-0.177947566,Hello
0.705611587,0.938790917,5.76e-07,0.609631896,0.920650721,-0.038935911,0.52528435,0.86257112,-0.069101609,0.459785789,0.817989707,-0.09658131,0.399348855,0.782110751,-0.126103535,0.564012229,0.676854849,-0.062543489,0.51408428,0.560055554,-0.103740148,0.478180826,0.490997434,-0.133794099,0.443388641,0.427105278,-0.156244114,0.621330976,0.653514743,-0.075205959,0.580285192,0.509270608,-0.115124986,0.551378369,0.417055219,-0.146814257,0.522920489,0.331843793,-0.169752941,0.681582332,0.664096653,-0.091803536,0.663618088,0.522970319,-0.136832938,0.651988924,0.427559704,-0.166175812,0.636471748,0.336805224,-0.185710222,0.742389083,0.699737489,-0.110238411,0.759339809,0.590701401,-0.151890516,0.772229612,0.514632225,-0.170496359,0.778541803,0.439651132,-0.182649553,Hello
0.706528485,0.940374255,6.79e-07,0.610551417,0.924889684,-0.039545525,0.525570869,0.866995633,-0.070253074,0.460520297,0.820508361,-0.098084137,0.399227917,0.785513043,-0.127915248,0.565633655,0.680468798,-0.065826572,0.516114891,0.559692383,-0.107478969,0.480504036,0.48977229,-0.13746348,0.446368665,0.425594926,-0.15974471,0.622985721,0.657985747,-0.078173421,0.582565963,0.512014687,-0.118950129,0.55403316,0.419049859,-0.150340796,0.527046084,0.335143179,-0.172939092,0.683868349,0.668955863,-0.094262004,0.666000366,0.527075827,-0.13961719,0.65101254,0.432547778,-0.168970108,0.632284403,0.342837363,-0.188555509,0.745776832,0.704476714,-0.112134568,0.762345314,0.594356835,-0.155108497,0.772823513,0.518730938,-0.174318999,0.777140975,0.44379583,-0.186557353,Hello
0.709488571,0.943381965,6.68e-07,0.612216651,0.929385543,-0.039699584,0.525594831,0.872660637,-0.069595844,0.459648818,0.826385319,-0.096547998,0.399819851,0.788518131,-0.125426188,0.566328526,0.686874449,-0.065629221,0.516706109,0.566851079,-0.106686659,0.481124103,0.495806038,-0.135715067,0.447287619,0.430319905,-0.157415539,0.623450398,0.662649393,-0.077634007,0.582765877,0.518340409,-0.118571781,0.554308414,0.425443083,-0.150163755,0.527684927,0.339921266,-0.172856733,0.683988035,0.671919823,-0.093346968,0.666543484,0.530494392,-0.139575034,0.652238369,0.434221655,-0.170031577,0.634340882,0.342128426,-0.190252528,0.745690942,0.7054829,-0.110709198,0.763413072,0.595911741,-0.154828295,0.774493158,0.519996941,-0.175183594,0.77945435,0.444078028,-0.188156828,Hello
0.70701164,0.944554806,6.75e-07,0.610307813,0.929889619,-0.03941666,0.526224196,0.873271048,-0.069500729,0.460635185,0.827249765,-0.096858829,0.398908466,0.791966915,-0.12636745,0.566811025,0.688342571,-0.06291604,0.517094553,0.569832206,-0.103627302,0.481821835,0.499752581,-0.133320019,0.44884178,0.434739232,-0.155679971,0.625115395,0.665154338,-0.075460494,0.584837019,0.520897746,-0.11577332,0.556129456,0.427477688,-0.147772387,0.528423786,0.341380119,-0.171055764,0.68609333,0.674811125,-0.091923006,0.668940663,0.532787144,-0.138372913,0.654483914,0.43635112,-0.16929917,0.635216594,0.34400773,-0.189862147,0.74831003,0.708885968,-0.110020526,0.765379131,0.598702669,-0.154598773,0.776726723,0.523055196,-0.174866259,0.780874431,0.447941393,-0.18783468,Hello
0.708739817,0.946689785,6.87e-07,0.610383391,0.933314681,-0.041419793,0.524964273,0.879401565,-0.07330431,0.460005432,0.833933473,-0.10232231,0.399285048,0.794778705,-0.133394688,0.568995178,0.688424349,-0.067478128,0.518412173,0.569615424,-0.110985957,0.482083321,0.499215335,-0.142273679,0.447919905,0.433327436,-0.165361002,0.626224101,0.665377259,-0.079474598,0.584812701,0.521101534,-0.122619167,0.555075049,0.426981568,-0.156000227,0.527573287,0.339824885,-0.179970369,0.686210752,0.675663531,-0.095461719,0.667169571,0.536416888,-0.144104943,0.652084827,0.44174853,-0.175869048,0.633570433,0.350857973,-0.196568817,0.747007549,0.710383594,-0.113261059,0.76419735,0.600869834,-0.159452155,0.776409745,0.525716424,-0.180825382,0.78228569,0.451147467,-0.194249332,Hello
